model_year,engine_size,horsepower,torque,vehicle_type
2010,1.8,140,175,Sedan
2011,2.0,150,190,Sedan
2012,3.0,250,310,SUV
2013,1.6,120,160,Hatchback
2014,2.5,200,240,SUV
2015,2.0,160,200,Hatchback
2016,3.5,300,360,SUV
2017,1.4,130,155,Hatchback
2018,2.0,180,220,Sedan
2019,1.5,110,140,Hatchback
2020,3.5,310,370,SUV
2010,2.4,210,250,Coupe
2011,3.0,230,280,Coupe
2012,1.8,160,200,Sedan
2013,2.2,170,210,Sedan
2014,3.0,240,300,SUV
2015,1.6,115,150,Hatchback
2016,2.5,195,235,Coupe
2017,3.5,305,355,SUV
2018,1.5,105,135,Hatchback
2019,2.0,175,215,Sedan
2020,2.4,205,245,Coupe
2018,2.2,210,260,Coupe
2018,3.1,320,400,SUV
2018,1.8,150,180,Sedan
2018,1.6,130,160,Hatchback
2019,2.0,180,220,Sedan
2019,2.4,220,270,Coupe
2019,3.1,320,400,SUV
2019,1.6,130,160,Hatchback
2020,2.0,190,230,Sedan
2020,2.4,225,275,Coupe
2020,3.2,330,410,SUV
2020,1.7,135,165,Hatchback
2021,2.1,195,235,Sedan
2021,2.3,230,280,Coupe
2021,3.3,340,420,SUV
2021,1.8,140,170,Hatchback
2022,2.2,200,240,Sedan
2022,2.5,240,290,Coupe
2022,3.4,350,430,SUV
2022,1.9,145,175,Hatchback
2022,1.6,120,150,Hatchback
2022,2.0,170,210,Sedan
2022,2.8,260,310,Coupe
2022,3.5,340,400,SUV
2023,1.8,140,175,Hatchback
2023,2.2,180,220,Sedan
2023,2.5,230,280,Coupe
2023,3.2,330,390,SUV
2023,1.5,115,145,Hatchback
2023,2.0,165,205,Sedan
2023,2.7,250,300,Coupe
2023,3.5,345,405,SUV
2024,1.7,135,165,Hatchback
2024,2.3,185,225,Sedan
2024,2.5,235,285,Coupe
2024,3.3,335,395,SUV
2024,1.6,120,150,Hatchback
2024,2.1,170,210,Sedan
2024,2.8,260,310,Coupe
2024,3.5,350,410,SUV
2022	1.6	120	150	Hatchback
2022	2.0	170	210	Sedan
2022	2.8	260	310	Coupe
2022	3.5	340	400	SUV
2023	1.8	140	175	Hatchback
2023	2.2	180	220	Sedan
2023	2.5	230	280	Coupe
2023	3.2	330	390	SUV
2023	1.5	115	145	Hatchback
2023	2.0	165	205	Sedan
2023	2.7	250	300	Coupe
2023	3.5	345	405	SUV
2024	1.7	135	165	Hatchback
2024	2.3	185	225	Sedan
2024	2.5	235	285	Coupe
2024	3.3	335	395	SUV
2024	1.6	120	150	Hatchback
2024	2.1	170	210	Sedan
2024	2.8	260	310	Coupe
2024	3.5	350	410	SUV
